DateTime,AnimalID,System,PositionID
2023-04-24T10:37:53Z,OR426,sys.5,7
2023-04-24T10:37:53Z,OR425,sys.2,4
2023-04-24T10:37:53Z,OR429,sys.4,3
2023-04-24T10:37:55Z,OR437,sys.4,3
2023-04-24T10:37:56Z,OR436,sys.2,8
2023-04-24T10:37:57Z,OR414,sys.3,7
2023-04-24T10:37:57Z,OR430,sys.5,3
2023-04-24T10:38:00Z,OR420,sys.2,3
2023-04-24T10:38:00Z,OR425,sys.2,7
2023-04-24T10:38:02Z,OR414,sys.3,7
2023-04-24T10:38:04Z,OR424,sys.1,7
2023-04-24T10:38:06Z,1547,sys.5,7
2023-04-24T10:38:08Z,OR432,sys.1,7
2023-04-24T10:38:08Z,OR436,sys.2,3
2023-04-24T10:38:09Z,OR415,sys.3,3
2023-04-24T10:38:10Z,OR425,sys.2,4
2023-04-24T10:38:13Z,OR430,sys.5,7
2023-04-24T10:38:15Z,OR413,sys.3,8
2023-04-24T10:38:16Z,OR429,sys.4,3
2023-04-24T10:38:18Z,OR434,sys.5,7
2023-04-24T10:38:19Z,OR415,sys.3,3
2023-04-24T10:38:21Z,OR426,sys.5,3
2023-04-24T10:38:22Z,OR424,sys.1,7
2023-04-24T10:38:22Z,OR436,sys.2,3
2023-04-24T10:38:24Z,OR425,sys.2,3
2023-04-24T10:38:24Z,OR416,sys.3,3
2023-04-24T10:38:28Z,OR414,sys.3,3
2023-04-24T10:38:30Z,OR432,sys.1,4
2023-04-24T10:38:32Z,1545,sys.2,3
2023-04-24T10:38:33Z,OR432,sys.1,3
2023-04-24T10:38:35Z,OR434,sys.5,3
2023-04-24T10:38:37Z,OR426,sys.5,7
2023-04-24T10:38:38Z,OR434,sys.5,3
2023-04-24T10:38:39Z,OR415,sys.3,7
2023-04-24T10:38:40Z,OR428,sys.1,3
